کد نماد	گروه	گروه های صنعت	تابلو	نماد	نام لاتین	نماد	نام
IRO1BRKT0001	N1	مواد و محصولات دارويي	تابلو فرعي	BRKT1	G.Barekat Pharm	بركت	گروه دارويي بركت
IRR1BRKT0101	N1	مواد و محصولات دارويي	تابلو فرعي	BRKX1	G.Barekat Pharm-R	بركتح	ح . گروه دارويي بركت
IRO1SWIC0001	N2	ماشين آلات و دستگاه‌هاي برقي	فهرست اوليه	SWIC1	Pars Switch	بسويچ	پارس‌سويچ‌
IRR1SWIC0101	N2	ماشين آلات و دستگاه‌هاي برقي	فهرست اوليه	SWIX1	Pars Switch-R	بسويچح	ح . پارس‌سويچ‌
IRO1LAPS0001	N2	ماشين آلات و دستگاه‌هاي برقي	فهرست اوليه	LAPS1	Pars Shahab	بشهاب	لامپ‌ پارس‌ شهاب‌
IRR1LAPS0101	N2	ماشين آلات و دستگاه‌هاي برقي	فهرست اوليه	LAPX1	Pars Shahab-R	بشهابح	ح . لامپ‌ پارس‌ شهاب‌
IRO1BFJR0001	N2	عرضه برق، گاز، بخاروآب گرم	فهرست اوليه	BFJR1	Fajr E.Persia Gulf	بفجر	فجر انرژي خليج فارس
IRR1BFJR0101	N2	عرضه برق، گاز، بخاروآب گرم	فهرست اوليه	BFJX1	Fajr EPersiaGulf-R	بفجرح	ح . فجر انرژي خليج فارس
IRO1JOSH0001	N2	ماشين آلات و دستگاه‌هاي برقي	فهرست اوليه	JOSH1	Yazd Jooshkab	بكاب	صنايع‌جوشكاب‌يزد
IRR1JOSH0101	N2	ماشين آلات و دستگاه‌هاي برقي	فهرست اوليه	JOSX1	Yazd Jooshkab-R	بكابح	ح . صنايع‌جوشكاب‌يزد
IRO1KGND0001	N1	ماشين آلات و دستگاه‌هاي برقي	تابلو فرعي	KGND1	Ghandi Cables.	بكام	كارخانجات توليدي شهيد قندي
IRO1MOTJ0001	N1	ماشين آلات و دستگاه‌هاي برقي	تابلو اصلي	MOTJ1	Motogen	بموتو	موتوژن‌
IRR1MOTJ0101	N1	ماشين آلات و دستگاه‌هاي برقي	تابلو اصلي	MOTX1	Motogen-R	بموتوح	ح . موتوژن‌
IRO1NIRO0001	N1	ماشين آلات و دستگاه‌هاي برقي	تابلو فرعي	NIRO1	Nirou Trans	بنيرو	نيروترانس‌
IRR1NIRO0101	N1	ماشين آلات و دستگاه‌هاي برقي	تابلو فرعي	NIRX1	Nirou Trans-R	بنيروح	ح . نيروترانس‌
IRO1BONA0001	N2	محصولات شيميايي	فهرست اوليه	BONA1	BoualiSina Petro.	بوعلي	پتروشيمي بوعلي سينا
IRO1ARTA0001	N2	لاستيك و پلاستيك	فهرست اوليه	ARTA1	Artavil Tire	پارتا	مجتمع‌صنعتي‌آرتاويل‌تاير
IRR1ARTA0101	N2	لاستيك و پلاستيك	فهرست اوليه	ARTX1	Artavil Tire-R	پارتاح	ح . مجتمع‌صنعتي‌آرتاويل‌تاير
IRO1PARS0001	N2	محصولات شيميايي	فهرست اوليه	PARS1	PARS Petrochemical	پارس	پتروشيمي پارس
IRO1PASN0001	N1	محصولات شيميايي	تابلو اصلي	PASN1	S*Parsian Oil&Gas	پارسان	گسترش نفت و گاز پارسيان
IRR1PASN0101	N1	محصولات شيميايي	تابلو اصلي	PASX1	Parsian Oil&Gas-R	پارسانح	ح. گسترش نفت و گاز پارسيان
IRO1IPAR0001	N1	بيمه وصندوق بازنشستگي به جزتامين اجتماعي	تابلو فرعي	IPAR1	Parsian	پارسيان	بيمه پارسيان
IRR1IPAR0101	N1	بيمه وصندوق بازنشستگي به جزتامين اجتماعي	تابلو فرعي	IPAX1	Parsian-R	پارسيانح	ح.بيمه پارسيان
IRO1YASA0001	N2	لاستيك و پلاستيك	فهرست اوليه	YASA1	Iran Yasa Tire	پاسا	ايران‌ياساتايرورابر
IRR1YASA0101	N2	لاستيك و پلاستيك	فهرست اوليه	YASX1	Iran Yasa Tire-R	پاساح	ح . ايران‌ياساتايرورابر
IRO1PASH0001	N2	محصولات شيميايي	فهرست اوليه	PASH1	Paksho	پاكشو	گروه صنعتي پاكشو
IRR1PASH0101	N2	محصولات شيميايي	فهرست اوليه	PAHX1	Paksho-R	پاكشوح	ح . گروه صنعتي پاكشو
IRO1TAIR0001	N1	لاستيك و پلاستيك	تابلو فرعي	TAIR1	Iran Tire	پتاير	ايران‌ تاير
IRR1TAIR0101	N1	لاستيك و پلاستيك	تابلو فرعي	TAIX1	Iran Tire-R	پتايرح	ح . ايران‌ تاير
IRO1IPTR0001	N1	محصولات شيميايي	تابلو فرعي	IPTR1	S*Ir.Inv.Petr.	پترول	گ.س.وت.ص.پتروشيمي خليج فارس
